scheme,boundary,mean_hit_ratio,mean_best_cover,mean_best_iou,full80_ratio,avg_num_pred_spans,rank_score
object_scene_light,thres_hz0.8_lz0.1_exp8_12,1.0,0.5666585093413662,0.4540215642592562,0.19148936170212766,3.106382978723404,0.6004516670120928
object_scene_light,thres_hz0.8_lz0.25_exp8_12,1.0,0.5665499552814445,0.4540215642592562,0.19148936170212766,3.106382978723404,0.600397389982132
object_scene_light,thres_hz0.8_lz0.4_exp8_12,1.0,0.5655828372930498,0.4531350394365612,0.19148936170212766,3.106382978723404,0.599692199782261
baseline_current_raw,thres_hz0.8_lz0.25_exp4_8,0.9787234042553191,0.549498297062416,0.4715139004552,0.2553191489361702,3.4893617021276597,0.5964574108790506
baseline_current_raw,thres_hz1.0_lz0.25_exp4_8,0.9787234042553191,0.549498297062416,0.4715139004552,0.2553191489361702,3.4893617021276597,0.5964574108790506
baseline_current_raw,thres_hz0.8_lz0.1_exp4_8,0.9787234042553191,0.549498297062416,0.4715139004552,0.2553191489361702,3.5106382978723403,0.5963510279003271
baseline_current_raw,thres_hz1.0_lz0.1_exp4_8,0.9787234042553191,0.549498297062416,0.4715139004552,0.2553191489361702,3.5106382978723403,0.5963510279003271
baseline_current_raw,thres_hz0.8_lz0.4_exp4_8,0.9787234042553191,0.5492897029864879,0.47130530637927176,0.2553191489361702,3.4893617021276597,0.5963009653221045
baseline_current_raw,thres_hz1.0_lz0.4_exp4_8,0.9787234042553191,0.5492897029864879,0.47130530637927176,0.2553191489361702,3.4893617021276597,0.5963009653221045
object_scene_balanced,thres_hz0.6_lz0.25_exp8_12,1.0,0.5499556322345938,0.449096689889873,0.1702127659574468,2.9574468085106385,0.5894860311429566
object_scene_balanced,thres_hz0.6_lz0.4_exp8_12,1.0,0.5499556322345938,0.449096689889873,0.1702127659574468,2.9574468085106385,0.5894860311429566
object_scene_balanced,thres_hz0.6_lz0.1_exp8_12,1.0,0.5503151161184462,0.4452561915987607,0.1702127659574468,2.9361702127659575,0.5888120314908282
object_scene_light,thres_hz1.0_lz0.1_exp8_12,0.9787234042553191,0.554766027111785,0.4436560818620469,0.19148936170212766,3.0851063829787235,0.5877651191277873
object_scene_light,thres_hz1.0_lz0.25_exp8_12,0.9787234042553191,0.5546574730518632,0.4436560818620469,0.19148936170212766,3.0851063829787235,0.5877108420978263
object_scene_light,thres_hz1.0_lz0.4_exp8_12,0.9787234042553191,0.5533276858178205,0.44271740852036995,0.19148936170212766,3.0851063829787235,0.5868112801453857
object_scene_balanced,thres_hz0.8_lz0.25_exp8_12,0.9787234042553191,0.5460871602810154,0.4493274779134873,0.1702127659574468,2.9361702127659575,0.5834605560018583
