hit_ratio,full80_ratio,mean_best_cover,mean_best_iou,mean_best_pred_to_gt_ratio,avg_span_ratio,num_pred_spans,gt_lift,wide_single_flag,raw_span_count,final_span_count,merge_compression,merge_to_single_flag,merge_to_single_rate,scheme,boundary,coverage_rank,vlm_ready_rank,method,high_z,low_z,peak_gap,peak_expand_left,peak_expand_right,peak_expand_sum,merge_gap,min_span_len
1.0,0.7446808510638298,0.8567063325678285,0.5647918969219923,1.6016740817141029,0.8031955007926219,1.872340425531915,0.6045345284559942,0.2978723404255319,5.0212765957446805,1.872340425531915,0.2160828951609332,0.0,0.0,source_like_smooth3,thres_hz0.8_lz0_exp4_8_mg8_min4,0.7438845165924154,0.642124344277751,by_thres,0.8,0.0,4,4,8,12,8,4
1.0,0.7446808510638298,0.8567063325678285,0.5647918969219923,1.6016740817141029,0.8018316164500142,1.851063829787234,0.6045345284559942,0.2978723404255319,5.0212765957446805,1.851063829787234,0.22140204409710343,0.0,0.0,source_like_smooth3,thres_hz0.8_lz0_exp4_8_mg8_min6,0.7438845165924154,0.642124344277751,by_thres,0.8,0.0,4,4,8,12,8,6
1.0,0.7446808510638298,0.8567063325678285,0.5647918969219923,1.6016740817141029,0.8009901691606766,1.8297872340425532,0.6045345284559942,0.2978723404255319,5.0212765957446805,1.8297872340425532,0.2249481433878836,0.0,0.0,source_like_smooth3,thres_hz0.8_lz0_exp4_8_mg8_min8,0.7438845165924154,0.642124344277751,by_thres,0.8,0.0,4,4,8,12,8,8
1.0,0.7446808510638298,0.8547720965910393,0.5678235620778153,1.5703414326002987,0.799654999189496,1.8936170212765957,0.6045345284559942,0.2978723404255319,4.9361702127659575,1.8936170212765957,0.20975856128900694,0.0,0.0,source_like_smooth3,thres_hz1.2_lz0_exp4_8_mg8_min4,0.743617837210212,0.6420291399096459,by_thres,1.2,0.0,4,4,8,12,8,4
1.0,0.7446808510638298,0.8547720965910393,0.5678235620778153,1.5703414326002987,0.7982911148468883,1.872340425531915,0.6045345284559942,0.2978723404255319,4.9361702127659575,1.872340425531915,0.21507771022517716,0.0,0.0,source_like_smooth3,thres_hz1.2_lz0_exp4_8_mg8_min6,0.743617837210212,0.6420291399096459,by_thres,1.2,0.0,4,4,8,12,8,6
1.0,0.7446808510638298,0.8547720965910393,0.5678235620778153,1.5703414326002987,0.7974496675575505,1.851063829787234,0.6045345284559942,0.2978723404255319,4.9361702127659575,1.851063829787234,0.2186238095159573,0.0,0.0,source_like_smooth3,thres_hz1.2_lz0_exp4_8_mg8_min8,0.743617837210212,0.6420291399096459,by_thres,1.2,0.0,4,4,8,12,8,8
1.0,0.7446808510638298,0.8477257752920977,0.5617935328631682,1.5724817617177427,0.8243465853281529,2.0425531914893615,0.6045345284559942,0.2978723404255319,4.9787234042553195,2.0425531914893615,0.2081927325945449,0.0,0.0,source_like_smooth3,thres_hz1_lz0_exp8_12_mg2_min8,0.7395729770060202,0.6376464632471741,by_thres,1.0,0.0,4,8,12,20,2,8
1.0,0.7446808510638298,0.8457915393153085,0.5606119240895839,1.568275566022185,0.822375856213474,2.0425531914893615,0.6045345284559942,0.2978723404255319,4.9361702127659575,2.0425531914893615,0.20439778423072757,0.0,0.0,source_like_smooth3,thres_hz1.2_lz0_exp8_12_mg2_min8,0.7385479083165235,0.6374683537847674,by_thres,1.2,0.0,4,8,12,20,2,8
1.0,0.7446808510638298,0.8477257752920977,0.5613864762592224,1.5739412107455808,0.8250082104372538,2.0425531914893615,0.6045345284559942,0.2978723404255319,5.0212765957446805,2.0425531914893615,0.20908545689152455,0.0,0.0,source_like_smooth3,thres_hz0.8_lz0_exp8_12_mg2_min8,0.7394997068173099,0.6373828466578125,by_thres,0.8,0.0,4,8,12,20,2,8
1.0,0.7446808510638298,0.8477257752920977,0.5617935328631682,1.5724817617177427,0.8262560234078038,2.0638297872340425,0.6045345284559942,0.2978723404255319,4.9787234042553195,2.0638297872340425,0.2028735836583747,0.0,0.0,source_like_smooth3,thres_hz1_lz0_exp8_12_mg2_min4,0.7395729770060202,0.6370736318232788,by_thres,1.0,0.0,4,8,12,20,2,4
1.0,0.7446808510638298,0.8477257752920977,0.5617935328631682,1.5724817617177427,0.8262560234078038,2.0638297872340425,0.6045345284559942,0.2978723404255319,4.9787234042553195,2.0638297872340425,0.2028735836583747,0.0,0.0,source_like_smooth3,thres_hz1_lz0_exp8_12_mg2_min6,0.7395729770060202,0.6370736318232788,by_thres,1.0,0.0,4,8,12,20,2,6
1.0,0.7446808510638298,0.8457915393153085,0.5606119240895839,1.568275566022185,0.8242852942931248,2.0638297872340425,0.6045345284559942,0.2978723404255319,4.9361702127659575,2.0638297872340425,0.19907863529455735,0.0,0.0,source_like_smooth3,thres_hz1.2_lz0_exp8_12_mg2_min4,0.7385479083165235,0.6368955223608722,by_thres,1.2,0.0,4,8,12,20,2,4
1.0,0.7446808510638298,0.8457915393153085,0.5606119240895839,1.568275566022185,0.8242852942931248,2.0638297872340425,0.6045345284559942,0.2978723404255319,4.9361702127659575,2.0638297872340425,0.19907863529455735,0.0,0.0,source_like_smooth3,thres_hz1.2_lz0_exp8_12_mg2_min6,0.7385479083165235,0.6368955223608722,by_thres,1.2,0.0,4,8,12,20,2,6
1.0,0.7446808510638298,0.8477257752920977,0.5613864762592224,1.5739412107455808,0.8269176485169046,2.0638297872340425,0.6045345284559942,0.2978723404255319,5.0212765957446805,2.0638297872340425,0.20376630795535436,0.0,0.0,source_like_smooth3,thres_hz0.8_lz0_exp8_12_mg2_min4,0.7394997068173099,0.6368100152339173,by_thres,0.8,0.0,4,8,12,20,2,4
1.0,0.7446808510638298,0.8477257752920977,0.5613864762592224,1.5739412107455808,0.8269176485169046,2.0638297872340425,0.6045345284559942,0.2978723404255319,5.0212765957446805,2.0638297872340425,0.20376630795535436,0.0,0.0,source_like_smooth3,thres_hz0.8_lz0_exp8_12_mg2_min6,0.7394997068173099,0.6368100152339173,by_thres,0.8,0.0,4,8,12,20,2,6
1.0,0.723404255319149,0.8421583676444732,0.560484486594007,1.5577659830414823,0.8122292955142255,2.0638297872340425,0.6045345284559942,0.2978723404255319,4.9787234042553195,2.0638297872340425,0.2028735836583747,0.0,0.0,source_like_smooth3,thres_hz1_lz0_exp6_10_mg4_min4,0.7331692502315263,0.6340920457440116,by_thres,1.0,0.0,4,6,10,16,4,4
1.0,0.723404255319149,0.8421583676444732,0.560484486594007,1.5577659830414823,0.8122292955142255,2.0638297872340425,0.6045345284559942,0.2978723404255319,4.9787234042553195,2.0638297872340425,0.2028735836583747,0.0,0.0,source_like_smooth3,thres_hz1_lz0_exp6_10_mg4_min6,0.7331692502315263,0.6340920457440116,by_thres,1.0,0.0,4,6,10,16,4,6
1.0,0.723404255319149,0.8421583676444732,0.560484486594007,1.5577659830414823,0.8105926343030962,2.0425531914893615,0.6045345284559942,0.2978723404255319,4.9787234042553195,2.0425531914893615,0.2081927325945449,0.0,0.0,source_like_smooth3,thres_hz1_lz0_exp6_10_mg4_min8,0.7331692502315263,0.6340920457440116,by_thres,1.0,0.0,4,6,10,16,4,8
1.0,0.723404255319149,0.8421583676444732,0.5600797235403636,1.55922543206932,0.8128909206233264,2.0638297872340425,0.6045345284559942,0.2978723404255319,5.0212765957446805,2.0638297872340425,0.20376630795535436,0.0,0.0,source_like_smooth3,thres_hz0.8_lz0_exp6_10_mg4_min4,0.7330963928818706,0.6340272836554286,by_thres,0.8,0.0,4,6,10,16,4,4
1.0,0.723404255319149,0.8421583676444732,0.5600797235403636,1.55922543206932,0.8128909206233264,2.0638297872340425,0.6045345284559942,0.2978723404255319,5.0212765957446805,2.0638297872340425,0.20376630795535436,0.0,0.0,source_like_smooth3,thres_hz0.8_lz0_exp6_10_mg4_min6,0.7330963928818706,0.6340272836554286,by_thres,0.8,0.0,4,6,10,16,4,6
1.0,0.723404255319149,0.8421583676444732,0.5600797235403636,1.55922543206932,0.8112542594121972,2.0425531914893615,0.6045345284559942,0.2978723404255319,5.0212765957446805,2.0425531914893615,0.20908545689152455,0.0,0.0,source_like_smooth3,thres_hz0.8_lz0_exp6_10_mg4_min8,0.7330963928818706,0.6340272836554286,by_thres,0.8,0.0,4,6,10,16,4,8
1.0,0.7446808510638298,0.847410722073243,0.5419954689716537,1.6218459631040854,0.825510473045359,1.8085106382978724,0.5685012682707623,0.2553191489361702,4.595744680851064,1.8085106382978724,0.22458466474423924,0.0,0.0,turn_focus__layout_only__scene0.15__smooth5,thres_hz0.8_lz0_exp8_12_mg8_min8,0.7329943423388099,0.6337056214182566,by_thres,0.8,0.0,4,8,12,20,8,8
1.0,0.723404255319149,0.8448505596509246,0.5592606047983253,1.5696065460765694,0.8242747049371235,2.0638297872340425,0.6045345284559942,0.2978723404255319,4.9787234042553195,2.0638297872340425,0.20686294536050237,0.0,0.0,source_like_smooth3,thres_hz1_lz0_exp8_12_mg0_min8,0.7340796721510132,0.6334214707775009,by_thres,1.0,0.0,4,8,12,20,0,8
1.0,0.723404255319149,0.840224131667684,0.5592936443984514,1.5535597873459248,0.8102585663995465,2.0638297872340425,0.6045345284559942,0.2978723404255319,4.9361702127659575,2.0638297872340425,0.19907863529455735,0.0,0.0,source_like_smooth3,thres_hz1.2_lz0_exp6_10_mg4_min4,0.7321425195260748,0.6333212401996858,by_thres,1.2,0.0,4,6,10,16,4,4
1.0,0.723404255319149,0.840224131667684,0.5592936443984514,1.5535597873459248,0.8102585663995465,2.0638297872340425,0.6045345284559942,0.2978723404255319,4.9361702127659575,2.0638297872340425,0.19907863529455735,0.0,0.0,source_like_smooth3,thres_hz1.2_lz0_exp6_10_mg4_min6,0.7321425195260748,0.6333212401996858,by_thres,1.2,0.0,4,6,10,16,4,6
1.0,0.723404255319149,0.840224131667684,0.5592936443984514,1.5535597873459248,0.8086219051884173,2.0425531914893615,0.6045345284559942,0.2978723404255319,4.9361702127659575,2.0425531914893615,0.20439778423072757,0.0,0.0,source_like_smooth3,thres_hz1.2_lz0_exp6_10_mg4_min8,0.7321425195260748,0.6333212401996858,by_thres,1.2,0.0,4,6,10,16,4,8
1.0,0.723404255319149,0.8429163236741355,0.5580789960247411,1.5654003503810119,0.8223039758224446,2.0638297872340425,0.6045345284559942,0.2978723404255319,4.9361702127659575,2.0638297872340425,0.203067996996685,0.0,0.0,source_like_smooth3,thres_hz1.2_lz0_exp8_12_mg0_min8,0.7330546034615166,0.6332433613150943,by_thres,1.2,0.0,4,8,12,20,0,8
